conjunto,id,status,meta_otimizacao,estrategia_lance,gasto_brl,compras,roas,cpa_brl,ctr,frequencia,atualizado
01 - IG & FB - ADV+,120254482452180102,CAMPAIGN_PAUSED,PROFILE_VISIT,,262.1,0,0.0,,"4,60%",1.04,2026-07-09
01 - [FEED/STORIES] QUENTE,120253614822760102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,261.17,2,0.98,130.59,"1,47%",1.11,2026-06-23
01 - Campeões - Low Carb,120253844200640102,CAMPAIGN_PAUSED,VALUE,,260.75,2,1.64,130.38,"1,87%",1.43,2026-06-26
01 - [FEED/STORIES] INTERESSES,120254795810190102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,256.18,2,1.11,128.09,"1,58%",1.23,2026-07-21
01 - [FEED/STORIES] INTERESSES,120254618555100102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,250.89,11,9.87,22.81,"2,67%",1.28,2026-07-14
01 - [FEED/STORIES] INTERESSES,120254795789480102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,248.01,7,3.1,35.43,"2,08%",1.25,2026-07-21
01 - [FEED/STORIES] FRIO,120254616999320102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,244.37,7,3.64,34.91,"2,02%",1.34,2026-07-14
01 - [FEED/STORIES] FRIO,120254795777480102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,236.0,3,3.28,78.67,"1,57%",1.53,2026-07-21
01 - [FEED/STORIES],120253689923750102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,233.89,2,2.66,116.94,"1,76%",1.23,2026-06-24
01 - [FEED/STORIES] FRIO,120252998803770102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,222.95,2,2.4,111.47,"2,85%",1.28,2026-06-15
01 - [FEED/STORIES] FRIO,120253127331240102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,206.92,1,1.25,206.92,"1,98%",1.14,2026-06-17
01 - Geral,120252596599500102,CAMPAIGN_PAUSED,PROFILE_AND_PAGE_ENGAGEMENT,,205.99,0,0.0,,"4,12%",1.5,2026-06-09
01 - [FEED/STORIES] ADV+,120252513645160102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,196.31,3,2.22,65.44,"2,00%",1.33,2026-06-08
01 - Sul,120253127225220102,CAMPAIGN_PAUSED,VALUE,,190.5,0,0.0,,"1,32%",1.31,2026-06-17
01 - Low Carb,120254795746320102,CAMPAIGN_PAUSED,VALUE,,187.0,2,1.86,93.5,"4,62%",1.47,2026-07-21
